DATE,10Y Treasury,10Y TIPS
2018-07-25,2.94,0.81
2018-07-26,2.98,0.87
2018-07-27,2.96,0.84
2018-07-30,2.98,0.85
2018-07-31,2.96,0.84
2018-08-01,3.0,0.87
2018-08-02,2.98,0.86
2018-08-03,2.95,0.83
2018-08-06,2.94,0.83
2018-08-07,2.98,0.85
2018-08-08,2.96,0.85
2018-08-09,2.93,0.82
2018-08-10,2.87,0.78
2018-08-13,2.88,0.78
2018-08-14,2.89,0.8
2018-08-15,2.86,0.78
2018-08-16,2.87,0.79
2018-08-17,2.87,0.79
2018-08-20,2.82,0.75
2018-08-21,2.85,0.77
2018-08-22,2.82,0.74
2018-08-23,2.82,0.73
2018-08-24,2.82,0.73
2018-08-27,2.85,0.74
2018-08-28,2.88,0.77
2018-08-29,2.89,0.77
2018-08-30,2.86,0.76
2018-08-31,2.86,0.78
2018-09-04,2.9,0.8
2018-09-05,2.9,0.81
2018-09-06,2.88,0.8
2018-09-07,2.94,0.84
2018-09-10,2.94,0.84
2018-09-11,2.98,0.86
2018-09-12,2.97,0.85
2018-09-13,2.97,0.87
2018-09-14,2.99,0.89
2018-09-17,2.99,0.89
2018-09-18,3.05,0.92
2018-09-19,3.08,0.93
2018-09-20,3.07,0.92
2018-09-21,3.07,0.92
2018-09-24,3.08,0.92
2018-09-25,3.1,0.94
2018-09-26,3.06,0.92
2018-09-27,3.06,0.91
2018-09-28,3.05,0.91
2018-10-01,3.09,0.95
2018-10-02,3.05,0.93
2018-10-03,3.15,0.99
2018-10-04,3.19,1.03
2018-10-05,3.23,1.07
2018-10-09,3.21,1.04
2018-10-10,3.22,1.06
2018-10-11,3.14,1.02
2018-10-12,3.15,1.03
2018-10-15,3.16,1.03
2018-10-16,3.16,1.03
2018-10-17,3.19,1.06
2018-10-18,3.17,1.07
2018-10-19,3.2,1.09
2018-10-22,3.2,1.09
2018-10-23,3.17,1.08
2018-10-24,3.1,1.03
2018-10-25,3.14,1.09
2018-10-26,3.08,1.02
2018-10-29,3.08,1.02
2018-10-30,3.12,1.07
2018-10-31,3.15,1.1
2018-11-01,3.14,1.12
2018-11-02,3.22,1.16
2018-11-05,3.2,1.14
2018-11-06,3.22,1.15
2018-11-07,3.22,1.15
2018-11-08,3.24,1.17
2018-11-09,3.19,1.15
2018-11-13,3.14,1.12
2018-11-14,3.12,1.12
2018-11-15,3.11,1.11
2018-11-16,3.08,1.06
2018-11-19,3.06,1.07
2018-11-20,3.06,1.09
2018-11-21,3.06,1.09
2018-11-23,3.05,1.09
2018-11-26,3.07,1.11
2018-11-27,3.06,1.15
2018-11-28,3.06,1.12
2018-11-29,3.03,1.05
2018-11-30,3.01,1.04
2018-12-03,2.98,1.02
2018-12-04,2.91,0.97
2018-12-06,2.87,0.97
2018-12-07,2.85,0.96
2018-12-10,2.85,0.99
2018-12-11,2.89,1.06
2018-12-12,2.91,1.08
2018-12-13,2.91,1.08
2018-12-14,2.89,1.07
2018-12-17,2.86,1.05
2018-12-18,2.82,1.01
2018-12-19,2.77,0.97
2018-12-20,2.79,1.03
2018-12-21,2.79,1.02
2018-12-24,2.74,0.99
2018-12-26,2.81,1.04
2018-12-27,2.77,1.03
2018-12-28,2.72,0.99
2018-12-31,2.69,0.98
2019-01-02,2.66,0.96
2019-01-03,2.56,0.88
2019-01-04,2.67,0.91
