Emittententicker,Name,Sektor,Gewichtung,Boerse
BIIB,BIOGEN INC,Gesundheitsversorgung,0.09,NASDAQ
DFS,DISCOVER FINANCIAL SERVICES,Financials,0.09,New York Stock Exchange Inc.
CBRE,CBRE GROUP INC CLASS A,Immobilien,0.09,New York Stock Exchange Inc.
ANSS,ANSYS INC,IT,0.09,NASDAQ
STT,STATE STREET CORP,Financials,0.09,New York Stock Exchange Inc.
AJG,ARTHUR J GALLAGHER,Financials,0.09,New York Stock Exchange Inc.
AVB,AVALONBAY COMMUNITIES REIT INC,Immobilien,0.09,New York Stock Exchange Inc.
AMP,AMERIPRISE FINANCE INC,Financials,0.09,New York Stock Exchange Inc.
ODFL,OLD DOMINION FREIGHT LINE INC,Industrie,0.08,NASDAQ
MNST,MONSTER BEVERAGE CORP,Nichtzyklische Konsumgüter,0.08,NASDAQ
NUE,NUCOR CORP,Materialien,0.08,New York Stock Exchange Inc.
AME,AMETEK INC,Industrie,0.08,New York Stock Exchange Inc.
WMB,WILLIAMS INC,Energie,0.08,New York Stock Exchange Inc.
PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Versorger,0.08,New York Stock Exchange Inc.
DLTR,DOLLAR TREE INC,Zyklische Konsumgüter ,0.08,NASDAQ
LEN,LENNAR A CORP,Zyklische Konsumgüter ,0.08,New York Stock Exchange Inc.
ZBRA,ZEBRA TECHNOLOGIES CORP CLASS A,IT,0.08,NASDAQ
AWK,AMERICAN WATER WORKS INC,Versorger,0.08,New York Stock Exchange Inc.
ALL,ALLSTATE CORP,Financials,0.08,New York Stock Exchange Inc.
WST,WEST PHARMACEUTICAL SERVICES INC,Gesundheitsversorgung,0.08,New York Stock Exchange Inc.
TDG,TRANSDIGM GROUP INC,Industrie,0.08,New York Stock Exchange Inc.
PSX,PHILLIPS,Energie,0.08,New York Stock Exchange Inc.
CPRT,COPART INC,Industrie,0.08,NASDAQ
CMI,CUMMINS INC,Industrie,0.08,New York Stock Exchange Inc.
KMI,KINDER MORGAN INC,Energie,0.08,New York Stock Exchange Inc.
SWK,STANLEY BLACK & DECKER INC,Industrie,0.08,New York Stock Exchange Inc.
PCAR,PACCAR INC,Industrie,0.08,NASDAQ
BLL,BALL CORP,Materialien,0.08,New York Stock Exchange Inc.
FITB,FIFTH THIRD BANCORP,Financials,0.08,NASDAQ
ES,EVERSOURCE ENERGY,Versorger,0.08,New York Stock Exchange Inc.
ALB,ALBEMARLE CORP,Materialien,0.08,New York Stock Exchange Inc.
ETSY,ETSY INC,Zyklische Konsumgüter ,0.08,NASDAQ
WLTW,WILLIS TOWERS WATSON PLC,Financials,0.08,NASDAQ
WY,WEYERHAEUSER REIT,Immobilien,0.08,New York Stock Exchange Inc.
KR,KROGER,Nichtzyklische Konsumgüter,0.07,New York Stock Exchange Inc.
EQR,EQUITY RESIDENTIAL REIT,Immobilien,0.07,New York Stock Exchange Inc.
ENPH,ENPHASE ENERGY INC,IT,0.07,NASDAQ
WEC,WEC ENERGY GROUP INC,Versorger,0.07,New York Stock Exchange Inc.
ARE,ALEXANDRIA REAL ESTATE EQUITIES RE,Immobilien,0.07,New York Stock Exchange Inc.
ED,CONSOLIDATED EDISON INC,Versorger,0.07,New York Stock Exchange Inc.
GLW,CORNING INC,IT,0.07,New York Stock Exchange Inc.
ANET,ARISTA NETWORKS INC,IT,0.07,New York Stock Exchange Inc.
VLO,VALERO ENERGY CORP,Energie,0.07,New York Stock Exchange Inc.
RSG,REPUBLIC SERVICES INC,Industrie,0.07,New York Stock Exchange Inc.
OKE,ONEOK INC,Energie,0.07,New York Stock Exchange Inc.
EXR,EXTRA SPACE STORAGE REIT INC,Immobilien,0.07,New York Stock Exchange Inc.
SYF,SYNCHRONY FINANCIAL,Financials,0.07,New York Stock Exchange Inc.
LH,LABORATORY CORPORATION OF AMERICA,Gesundheitsversorgung,0.07,New York Stock Exchange Inc.
FTV,FORTIVE CORP,Industrie,0.07,New York Stock Exchange Inc.
KSU,KANSAS CITY SOUTHERN,Industrie,0.07,New York Stock Exchange Inc.
HSY,HERSHEY FOODS,Nichtzyklische Konsumgüter,0.07,New York Stock Exchange Inc.
OXY,OCCIDENTAL PETROLEUM CORP,Energie,0.07,New York Stock Exchange Inc.
VMC,VULCAN MATERIALS,Materialien,0.07,New York Stock Exchange Inc.
CDW,CDW CORP,IT,0.07,NASDAQ
MLM,MARTIN MARIETTA MATERIALS INC,Materialien,0.07,New York Stock Exchange Inc.
DVN,DEVON ENERGY CORP,Energie,0.07,New York Stock Exchange Inc.
TSCO,TRACTOR SUPPLY,Zyklische Konsumgüter ,0.07,NASDAQ
SWKS,SKYWORKS SOLUTIONS INC,IT,0.07,NASDAQ
ZBH,ZIMMER BIOMET HOLDINGS INC,Gesundheitsversorgung,0.07,New York Stock Exchange Inc.
TER,TERADYNE INC,IT,0.07,NASDAQ
IT,GARTNER INC,IT,0.07,New York Stock Exchange Inc.
URI,UNITED RENTALS INC,Industrie,0.07,New York Stock Exchange Inc.
LUV,SOUTHWEST AIRLINES,Industrie,0.06,New York Stock Exchange Inc.
EIX,EDISON INTERNATIONAL,Versorger,0.06,New York Stock Exchange Inc.
NTRS,NORTHERN TRUST CORP,Financials,0.06,NASDAQ
MAA,MID AMERICA APARTMENT COMMUNITIES,Immobilien,0.06,New York Stock Exchange Inc.
EXPE,EXPEDIA GROUP INC,Zyklische Konsumgüter ,0.06,NASDAQ
DOV,DOVER CORP,Industrie,0.06,New York Stock Exchange Inc.
TSN,TYSON FOODS INC CLASS A,Nichtzyklische Konsumgüter,0.06,New York Stock Exchange Inc.
DAL,DELTA AIR LINES INC,Industrie,0.06,New York Stock Exchange Inc.
VFC,VF CORP,Zyklische Konsumgüter ,0.06,New York Stock Exchange Inc.
IR,INGERSOLL RAND INC,Industrie,0.06,New York Stock Exchange Inc.
KMX,CARMAX INC,Zyklische Konsumgüter ,0.06,New York Stock Exchange Inc.
NDAQ,NASDAQ INC,Financials,0.06,NASDAQ
KHC,KRAFT HEINZ,Nichtzyklische Konsumgüter,0.06,NASDAQ
LYB,LYONDELLBASELL INDUSTRIES NV CLASS,Materialien,0.06,New York Stock Exchange Inc.
HIG,HARTFORD FINANCIAL SERVICES GROUP,Financials,0.06,New York Stock Exchange Inc.
CHD,CHURCH AND DWIGHT INC,Nichtzyklische Konsumgüter,0.06,New York Stock Exchange Inc.
VRSN,VERISIGN INC,IT,0.06,NASDAQ
BBY,BEST BUY INC,Zyklische Konsumgüter ,0.06,New York Stock Exchange Inc.
STE,STERIS,Gesundheitsversorgung,0.06,New York Stock Exchange Inc.
DRE,DUKE REALTY REIT CORP,Immobilien,0.06,New York Stock Exchange Inc.
GNRC,GENERAC HOLDINGS INC,Industrie,0.06,New York Stock Exchange Inc.
HBAN,HUNTINGTON BANCSHARES INC,Financials,0.06,NASDAQ
ESS,ESSEX PROPERTY TRUST REIT INC,Immobilien,0.06,New York Stock Exchange Inc.
DTE,DTE ENERGY,Versorger,0.06,New York Stock Exchange Inc.
CERN,CERNER CORP,Gesundheitsversorgung,0.06,NASDAQ
AEE,AMEREN CORP,Versorger,0.06,New York Stock Exchange Inc.
MKC,MCCORMICK & CO NON-VOTING INC,Nichtzyklische Konsumgüter,0.06,New York Stock Exchange Inc.
ULTA,ULTA BEAUTY INC,Zyklische Konsumgüter ,0.06,NASDAQ
XYL,XYLEM INC,Industrie,0.06,New York Stock Exchange Inc.
MPWR,MONOLITHIC POWER SYSTEMS INC,IT,0.06,NASDAQ
GWW,WW GRAINGER INC,Industrie,0.06,New York Stock Exchange Inc.
PPL,PPL CORP,Versorger,0.06,New York Stock Exchange Inc.
POOL,POOL CORP,Zyklische Konsumgüter ,0.06,NASDAQ
KEY,KEYCORP,Financials,0.06,New York Stock Exchange Inc.
TRMB,TRIMBLE INC,IT,0.05,NASDAQ
EXPD,EXPEDITORS INTERNATIONAL OF WASHIN,Industrie,0.05,NASDAQ
HES,HESS CORP,Energie,0.05,New York Stock Exchange Inc.
STX,SEAGATE TECHNOLOGY HOLDINGS PLC,IT,0.05,NASDAQ
FE,FIRSTENERGY CORP,Versorger,0.05,New York Stock Exchange Inc.
ETR,ENTERGY CORP,Versorger,0.05,New York Stock Exchange Inc.
RF,REGIONS FINANCIAL CORP,Financials,0.05,New York Stock Exchange Inc.
WAT,WATER CORP,Gesundheitsversorgung,0.05,New York Stock Exchange Inc.
CTLT,CATALENT INC,Gesundheitsversorgung,0.05,New York Stock Exchange Inc.
HAL,HALLIBURTON,Energie,0.05,New York Stock Exchange Inc.
TYL,TYLER TECHNOLOGIES INC,IT,0.05,New York Stock Exchange Inc.
